t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.22,1.2226,1.2571,1.2915,1.326,1.3603,1.3947,1.4291,1.4637,1.4982,1.5329,1.5675,1.6021,1.6367,1.6713,1.7059,1.7405,1.7749,1.8095,1.8441,1.8785,1.9128,1.9469,1.9807,2.014,2.0465,2.0779,2.1112,2.1459,2.1803,2.2141,0.91627,0.91926,0.92289,0.92579,0.92147,0.91747,0.91379,0.91109,0.90957,0.90852,0.90764,0.90681,0.90594,0.90498,0.90393,0.90123,0.90374,0.90479,0.90709,0.91063,0.91553,0.92175,0.92912,0.9385,0.9504,0.96505,0.97425,0.97366,0.9704,0.96282
0.23,1.2272,1.262,1.2969,1.3316,1.3662,1.4008,1.4355,1.4702,1.505,1.5398,1.5746,1.6093,1.6441,1.6789,1.7137,1.7485,1.7833,1.8181,1.8529,1.8876,1.9222,1.9566,1.9907,2.0225,2.0529,2.0853,2.1196,2.154,2.1886,2.2234,0.92558,0.92461,0.924,0.92353,0.91921,0.9155,0.91227,0.90995,0.90847,0.90674,0.90476,0.90279,0.90102,0.89972,0.89907,0.89901,0.89942,0.90016,0.90157,0.90449,0.90871,0.91389,0.92117,0.93532,0.9523,0.9649,0.97129,0.97648,0.9801,0.98144
0.24,1.2226,1.257,1.2914,1.3263,1.3612,1.3962,1.4311,1.466,1.501,1.536,1.571,1.606,1.641,1.6759,1.7108,1.7457,1.7805,1.8155,1.8505,1.8856,1.9204,1.9552,1.9897,2.0227,2.0543,2.0863,2.1198,2.1541,2.1886,2.2234,0.91162,0.91814,0.92461,0.92747,0.92553,0.92222,0.91942,0.91687,0.91534,0.91401,0.91222,0.91029,0.90824,0.90588,0.90265,0.89895,0.8956,0.89342,0.89311,0.89462,0.89788,0.90198,0.90813,0.91992,0.93501,0.94935,0.95951,0.96695,0.97294,0.97679
0.25,1.2179,1.2524,1.2868,1.3213,1.3558,1.3904,1.425,1.4596,1.4942,1.5288,1.5634,1.598,1.6326,1.6671,1.7017,1.7363,1.7708,1.8054,1.84,1.8746,1.9092,1.9438,1.9782,2.0125,2.046,2.0782,2.1103,2.1432,2.1762,2.2095,0.91627,0.9201,0.92412,0.92716,0.92427,0.92202,0.91988,0.91794,0.91614,0.91442,0.9127,0.91072,0.90841,0.90532,0.90285,0.90067,0.89805,0.8956,0.89345,0.89333,0.89447,0.89738,0.90107,0.90622,0.91517,0.92795,0.94097,0.95197,0.96226,0.97213
0.26,1.2272,1.262,1.2967,1.3313,1.3661,1.401,1.4358,1.4706,1.5054,1.5402,1.5749,1.6096,1.6442,1.6789,1.7135,1.7481,1.7827,1.8173,1.8518,1.8865,1.9213,1.9561,1.9907,2.0242,2.0563,2.0885,2.1211,2.1538,2.1862,2.2188,0.91627,0.91593,0.91956,0.92314,0.92336,0.92367,0.92382,0.92375,0.92321,0.92147,0.91865,0.91531,0.91164,0.90806,0.90436,0.90055,0.89672,0.89229,0.88798,0.88469,0.88581,0.8871,0.89124,0.90079,0.91417,0.92759,0.93984,0.95172,0.96454,0.97679
0.27,1.2226,1.2564,1.29,1.3239,1.3582,1.3926,1.427,1.4613,1.4957,1.5301,1.5645,1.5988,1.6331,1.6673,1.7015,1.7357,1.7699,1.8041,1.8383,1.8726,1.9069,1.9411,1.9754,2.0094,2.0429,2.0769,2.1093,2.1401,2.1683,2.1955,0.90231,0.90824,0.9158,0.92158,0.92126,0.92,0.91943,0.91856,0.91795,0.91739,0.91608,0.91404,0.9114,0.90818,0.90467,0.90098,0.89708,0.8935,0.89043,0.88757,0.88455,0.88147,0.88105,0.88672,0.89493,0.8997,0.91166,0.92666,0.94651,0.96748
0.28,1.2226,1.2564,1.29,1.3239,1.3581,1.3926,1.427,1.4614,1.4959,1.5303,1.5647,1.5992,1.6336,1.668,1.7022,1.7364,1.7705,1.8046,1.8387,1.8726,1.9067,1.941,1.9755,2.0097,2.0432,2.0773,2.1098,2.1418,2.1712,2.2002,0.89765,0.90423,0.91141,0.91804,0.92028,0.9198,0.92034,0.92076,0.92093,0.92063,0.91991,0.91882,0.9175,0.91581,0.91273,0.90827,0.90328,0.89845,0.8936,0.88811,0.88302,0.87983,0.87859,0.88083,0.88929,0.89242,0.90439,0.91681,0.93493,0.95351
0.29,1.2226,1.257,1.2912,1.3254,1.3599,1.3945,1.4291,1.4639,1.4986,1.5334,1.5682,1.6029,1.6377,1.6724,1.7069,1.7413,1.7756,1.8099,1.8442,1.8785,1.9129,1.9475,1.9821,2.0168,2.0516,2.0862,2.1203,2.153,2.184,2.2141,0.89765,0.90282,0.90894,0.91501,0.91962,0.92289,0.92588,0.92755,0.92794,0.92773,0.92736,0.92688,0.92619,0.92395,0.91983,0.91441,0.90871,0.90333,0.89755,0.89182,0.88669,0.88299,0.88009,0.87825,0.87956,0.8833,0.89002,0.90183,0.91745,0.93489
0.3,1.2226,1.2572,1.2916,1.326,1.3605,1.3951,1.4296,1.4643,1.499,1.5337,1.5685,1.6033,1.638,1.6728,1.7075,1.742,1.7762,1.8104,1.8446,1.8787,1.9127,1.9468,1.9813,2.0159,2.0506,2.0854,2.12,2.1539,2.1868,2.2188,0.89765,0.90111,0.90582,0.91075,0.91529,0.91899,0.92279,0.92569,0.92738,0.92798,0.92841,0.92859,0.9285,0.92808,0.92634,0.92183,0.91582,0.90953,0.90347,0.89641,0.88912,0.88273,0.87824,0.87481,0.87236,0.87171,0.87433,0.88198,0.8933,0.90696
0.31,1.2272,1.262,1.2965,1.3309,1.3655,1.4003,1.435,1.4698,1.5047,1.5396,1.5746,1.6095,1.6444,1.6793,1.7142,1.7489,1.7835,1.8179,1.8523,1.8867,1.921,1.9552,1.9895,2.0239,2.0585,2.0934,2.1283,2.1631,2.198,2.2327,0.893,0.89675,0.90179,0.90772,0.9124,0.91591,0.91926,0.92174,0.92323,0.92402,0.92472,0.92524,0.92548,0.92536,0.92389,0.92032,0.91523,0.90933,0.90331,0.89756,0.89113,0.88395,0.87717,0.87139,0.86681,0.86506,0.86667,0.86858,0.87104,0.87438
