,midx1,midy1,midx2,midy2,midx3,midy3,midx4,midy4,midx5,midy5,midx6,midy6,midx7,midy7
23,0.7323031654104679,0.655882629528152,0.8723925178664144,0.635612835185042,1.0358456859937342,0.6103332443777537,1.2274395901658388,0.6058054191839083,1.4644974664605641,0.6635461135797075,1.605308898381182,0.6752253684802396,1.723191456755088,0.6306657724798422
25,0.7287863972983193,0.6642345583501881,0.8678411134572687,0.6461775610309527,1.0022327381724931,0.6251395568321105,1.2244490839288467,0.5969312514635169,1.4636433291716728,0.6438832016229368,1.624886097304638,0.6938758541550007,1.714638275048076,0.6784975351858801
27,0.7227506090995984,0.6784972784389118,0.8662084965040217,0.658091618045181,0.9972373199592113,0.6379840926237549,1.2149039734202824,0.5977309565722222,1.496155142389773,0.6280823072916505,1.5862345967978713,0.6741620191503528,1.7091024738763767,0.7059180317625628
29,0.7189883833136766,0.6861636295450215,0.8621830973632864,0.6756869277355859,1.0045929123732191,0.6587287547174427,1.206825274413507,0.605987073062594,1.4614314736702008,0.5930852809442229,1.5880758693901642,0.6428092825489996,1.6917052929889806,0.7198780382013421
31,0.716596115040792,0.6968877999557418,0.8655701192152645,0.688485761234747,0.9892705659959835,0.6805679617390094,1.2129867865967083,0.6133738183769137,1.452657825402709,0.57911757195617,1.590334796805099,0.6083675736726132,1.6794784660045832,0.6790164790713265
33,0.7157414638372973,0.7082397352836002,0.854611231735652,0.7032679816809783,1.010325730034805,0.6919500231896394,1.2115065106184049,0.6340267334628629,1.4128100193377802,0.5702660414378983,1.583369214394063,0.5736751438797129,1.6801609200592087,0.6389187650985803
35,0.7151842212547712,0.7211002757641995,0.8551106200135994,0.7126782530566843,1.0189989013367444,0.7003773094904511,1.23748648535087,0.6453467030219356,1.4115305255183068,0.5753161483680012,1.5742054705880166,0.545966525813048,1.6810508315536203,0.5951571625136914
37,0.7127292617102546,0.728578254872766,0.8619421758798065,0.719864173023716,1.021060984034068,0.7105128272506982,1.2147240738623621,0.6794698649811423,1.4003537396490093,0.5979094010436921,1.565154698252503,0.5301606248457673,1.680766861133479,0.554810439317628
39,0.7121417213027926,0.7298539830232956,0.8611773040852191,0.7261427658909443,1.0124988154820513,0.7172051367982382,1.2554866114638312,0.6907186279209466,1.4133531408370452,0.6218839936346106,1.5537996394035667,0.5286420495393839,1.6775433924288046,0.5181491294123713
41,0.7101026616992637,0.731344186738006,0.861082047594616,0.7266387299411649,1.0087809230687446,0.7184387569035086,1.2335945126036667,0.7086334261210452,1.4278726158868176,0.651988431944371,1.5591110365735668,0.5450000585704898,1.6680982449711894,0.4883777018062689
43,0.7087193101554131,0.7240764043111848,0.8470938838237858,0.7192338409874499,1.0128870285366893,0.7141312277598685,1.2332442135463229,0.7166662086458268,1.426413222509424,0.6823562150306647,1.5677503168550129,0.5912729355743307,1.6447506901748505,0.4880555602913095
45,0.7070502767786692,0.7196372022534443,0.8393134480926879,0.7118688340505271,1.0075063075818929,0.7080741285812162,1.2319559046541204,0.720384272831409,1.4529729490036065,0.6983921682226156,1.5764330737510313,0.6342433487487062,1.660932223244763,0.5398286778899509
47,0.7058437013417719,0.7182006601975701,0.8397745795299016,0.7037943711583965,0.9815528643043087,0.689154992189501,1.2253950534806142,0.7158274341083588,1.472313248719272,0.7187041555856779,1.5817290661029286,0.6767561824560788,1.673762080990307,0.5897387838177913
49,0.7032474839901877,0.7201746755998497,0.8431675068425972,0.6951529944839677,0.9866366912538514,0.6811559298944927,1.216779737184365,0.7044261587017799,1.490233181718516,0.7324513985741397,1.581266907537619,0.7137760076021121,1.6820954804214951,0.6240021765961922
51,0.7001606513667055,0.7227042221719033,0.838849235972298,0.6933483089656692,0.9774928884562014,0.6728941647604831,1.196312883373244,0.6809147088962535,1.4319012674830045,0.7406205605733676,1.5642444173706738,0.7433810153569121,1.6904776638800092,0.6795834788799845
