t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.63,0.88295,1.0199,1.1573,1.3968,1.5683,1.7266,1.8528,0.90282,0.90252,0.90831,0.93231,0.92844,0.86715,0.81293
0.64,0.87822,1.0162,1.1549,1.3965,1.5695,1.7308,1.8575,0.89809,0.91019,0.90996,0.93021,0.93997,0.88331,0.82712
0.65,0.88295,1.0194,1.1559,1.3938,1.5636,1.726,1.8433,0.90755,0.90998,0.90794,0.92774,0.94312,0.90119,0.83185
0.66,0.88295,1.0196,1.1561,1.3943,1.564,1.7333,1.8433,0.91228,0.91175,0.90054,0.92486,0.94776,0.93008,0.85078
0.67,0.88295,1.0224,1.1615,1.4047,1.5765,1.7498,1.8623,0.91701,0.91116,0.90078,0.92265,0.95316,0.94063,0.86024
0.68,0.88295,1.0204,1.157,1.3972,1.5666,1.7384,1.8623,0.92174,0.91722,0.89877,0.91485,0.94576,0.95466,0.89809
0.69,0.88768,1.0249,1.1623,1.4035,1.5729,1.7439,1.8717,0.93593,0.91891,0.9038,0.90611,0.94071,0.96147,0.91228
0.7,0.88768,1.0247,1.1598,1.4005,1.5672,1.7357,1.867,0.94066,0.92534,0.89778,0.89542,0.93911,0.97373,0.93593
0.71,0.89241,1.0272,1.164,1.4042,1.5735,1.7378,1.8717,0.95013,0.92248,0.9064,0.89902,0.92905,0.9799,0.95486
0.72,0.88295,1.0199,1.1561,1.3979,1.5692,1.7337,1.8717,0.95013,0.92961,0.9043,0.89563,0.92025,0.97406,0.97378
0.73,0.89241,1.0274,1.1614,1.3982,1.567,1.7227,1.8575,0.9454,0.93252,0.91006,0.891,0.90487,0.97118,0.98324
0.74,0.89714,1.0333,1.1693,1.4084,1.5798,1.7361,1.8717,0.95013,0.93175,0.91229,0.88877,0.89771,0.96303,0.98324
0.75,0.88768,1.0257,1.1628,1.4032,1.5759,1.7345,1.8623,0.9454,0.93919,0.91929,0.88881,0.88892,0.9534,1.0069
0.76,0.88768,1.0266,1.1649,1.4069,1.5803,1.7419,1.8623,0.95013,0.93913,0.92016,0.88791,0.87741,0.93176,1.0022
0.77,0.88768,1.0268,1.1655,1.4075,1.5804,1.7498,1.8575,0.94066,0.93993,0.92664,0.89647,0.87616,0.91003,0.99744
0.78,0.89241,1.0301,1.168,1.4066,1.577,1.7462,1.8528,0.93593,0.94159,0.93727,0.90107,0.87508,0.89935,0.98324
0.79,0.89714,1.0354,1.1737,1.4143,1.5845,1.7566,1.867,0.9312,0.93607,0.92878,0.90181,0.87082,0.87301,0.95013
0.8,0.89241,1.0306,1.1694,1.4107,1.5796,1.752,1.8717,0.92174,0.93301,0.93354,0.91194,0.87256,0.86418,0.9312
0.81,0.89714,1.0324,1.1702,1.4101,1.5771,1.7479,1.8764,0.90755,0.93188,0.93387,0.916,0.87414,0.85304,0.89809
