,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
135,1073.6,1276.7,1481.8,1840.2,2094.5,2348.9,2547.3,555.91,408.21999999999997,790.91,577.49,545.9,753.55,559.99
137,1083.8,1283.6,1487.9,1845.2,2098.4,2347.8,2551.3,541.65,582.78,592.12,594.64,561.36,505.68,519.23
139,1085.9,1286.5,1491.7,1850.6,2106.1,2352.8,2557.4,539.61,580.62,592.81,601.33,575.13,663.11,484.58
141,1094.0,1438.82,1496.9,1853.7,2108.1,2348.7,2549.3,539.61,581.55,770.26,605.96,384.61,501.06,464.19
143,1094.0,1297.3,1501.6,1859.7,2115.1,2351.2,2653.8300000000004,543.68,311.3299999999999,444.75,620.1,604.87,507.34,454.0
145,1092.0,1297.0,1501.7,1709.1000000000001,2114.8,2348.0,2535.0,559.99,569.79,767.02,626.16,627.04,526.07,664.93
147,1087.9,1287.9,1340.06,1837.7,1823.94,2329.9,2486.1,566.11,577.96,585.16,623.94,638.89,367.63000000000005,458.08
149,1096.0,1295.3,1494.6,1841.3,2088.8,2334.0,2484.1,570.18,573.81,580.01,619.47,649.28,622.11,494.77
151,1100.1,1298.6,1497.4,1843.8,2088.4,2335.8,2500.4,574.26,733.7,583.23,614.23,658.07,648.11,545.72
153,1098.1,1301.2,1504.6,1858.6,2107.5,2544.2999999999997,2543.2,570.18,577.9,576.29,604.04,656.4,665.04,582.41
155,1100.1,1303.5,1507.4,1862.6,2215.95,2115.81,2296.6400000000003,574.26,687.92,570.65,591.59,647.96,689.56,621.14
157,1096.0,1299.3,1503.6,1859.7,2109.6,2359.2,2329.54,574.26,560.1,564.62,587.25,866.01,683.78,857.98
159,1096.0,1298.4,1372.18,1854.8,2103.4,2347.0,2547.3,568.14,564.38,562.37,574.65,621.88,690.76,676.17
161,1100.1,1302.7,1506.2,1861.9,2112.9,2355.3,2557.4,576.3,559.71,555.46,564.78,606.29,682.38,694.51
163,1100.1,1301.5,1504.6,1859.4,2110.5,2353.8,2555.4,578.33,554.03,654.12,374.77000000000004,593.73,665.07,688.4
165,1104.2,1307.6,1713.03,1668.1399999999999,2118.9,2535.6600000000003,2455.6600000000003,564.07,554.94,545.17,329.94000000000005,434.02,646.2,710.82
167,1098.1,1301.5,1505.5,2023.53,2115.7,2359.9,2553.4,557.95,552.54,546.67,535.28,554.83,821.6500000000001,692.47
169,1104.2,1305.5,1506.9,1859.2,2110.5,2353.0,2539.1,551.84,545.41,544.12,531.89,745.31,605.19,382.49
171,1106.2,1306.3,1506.9,1857.3,2107.9,2351.9,2535.0,537.57,542.88,683.6199999999999,521.8,520.13,569.89,446.12
173,1104.2,1308.3,1512.5,1869.3,1906.82,2377.3,2543.2,537.57,541.33,362.30000000000007,524.14,508.2,536.95,651.71
175,1106.2,1459.97,1510.2,1863.7,2333.0899999999997,2367.2,2549.3,525.34,534.35,543.07,359.93,496.22,513.45,596.68
177,1106.2,1307.8,1510.9,1865.6,2117.8,2370.6,2555.4,517.19,539.67,543.42,527.98,691.76,485.1,750.47
179,1112.3,1182.92,1514.1,1867.3,1979.9499999999998,2547.41,2559.5,513.11,542.57,546.26,532.78,497.52,469.21,695.19
181,1112.3,1106.09,1512.4,1863.1,2111.5,2358.8,2553.4,517.19,538.95,546.33,539.72,503.85,461.75,311.30999999999995
183,1108.3,1081.68,1508.3,1859.9,2108.1,2353.5,2553.4,515.15,542.44,851.73,752.04,507.01,452.76,466.23
185,1108.3,1307.7,1509.9,1672.05,2113.8,2357.8,2559.5,509.04,542.76,557.45,552.85,513.87,445.74,564.08
187,1112.3,1311.3,1512.7,1751.1499999999999,1965.42,2357.1,2557.4,509.04,544.82,561.67,562.56,519.84,449.23,543.82
189,1110.3,1306.3,1505.4,2082.38,1935.5299999999997,2340.4,2434.25,502.92,544.42,566.44,774.85,532.45,454.68,419.35
191,1116.4,1313.2,1512.4,1864.7,2113.6,2350.8,2547.3,502.92,546.19,577.89,580.33,259.65,460.27,415.28
