t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.23,1061.4,1108.8,1158.2,1207.2,1256.8,1307.1,1356.9,1406.6,1456.3,1506.1,1556.1,1606.3,1656.5,1706.4,1756.1,1805.6,1855,1904.3,1953.7,2002.6,2051.3,2100.6,2150.5,2200.7,2250.7,2300,2348.3,2390.2,2431.2,2465.7,953.37,936.97,927.63,916.5,909.83,906.55,900.11,892.8,885.09,878.22,873.28,871.61,873.84,879.09,886.39,895.09,904.54,914.03,923.38,934.57,947.13,956.5,962.4,966.11,963.24,952.92,938.64,911.33,882.21,845.34
0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,1049.2,1096.7,1145.4,1193.9,1242.9,1292.7,1341.7,1390.5,1439.2,1488.2,1537.7,1587.4,1637.2,1687,1736.8,1786.6,1836.2,1885.6,1934.6,1982.8,2030.5,2077.9,2124.9,2172.4,2220.1,2269.1,2318.9,2367.3,2413.7,2457.6,963.56,948.82,938.32,927.03,919.22,914.64,906.21,896.07,885.54,876.7,871.33,868.89,867.45,867.05,867.88,869.99,873.92,880.22,889.11,901.77,916.1,931.35,947.6,962.81,977.04,985.86,984.21,972.74,954.53,930.95
0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.27,1047.1,1094.8,1143.3,1191.7,1240.3,1288.9,1337.4,1385.7,1433.8,1481.9,1530.3,1579,1628,1677.1,1726.2,1775.4,1824.6,1873.7,1922.9,1971.8,2019.8,2066.8,2113.4,2159.7,2204.1,2248,2294.5,2343.1,2392.1,2441.3,973.75,961.84,953.79,945.15,937.43,929.99,921.68,912.33,902.18,892.21,883.32,876.53,872.31,869.65,867.41,865.71,864.79,864.88,866.33,871.33,882.36,896.78,912.45,928.89,950.14,972.23,988.24,995.71,1000.4,1000.2
0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.29,1034.9,1084.1,1134,1183.7,1233.5,1283.2,1332.7,1382.1,1431.1,1480,1529,1578.2,1627.4,1676.6,1725.7,1775.1,1824.8,1874.8,1924.9,1974.9,2024.7,2074.4,2123,2170,2214.3,2257.5,2301.3,2345.6,2389.5,2433.1,988.02,978.85,973.73,967.13,961.14,954.57,947.24,938.41,927.68,916.72,906.14,896.38,887.15,877.3,867.39,858.56,851.93,848.46,850.14,853.93,858.72,865.65,877.95,895.21,918.87,944.19,968.57,992.03,1016.3,1041
0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.31,1030.8,1080.9,1131.1,1181.5,1232,1282.5,1332.9,1382.8,1432.3,1481.5,1530.6,1579.8,1628.4,1676.3,1724.2,1772.7,1822.2,1872.6,1923.3,1974,2024.7,2075.3,2125.7,2175.1,2221.8,2265.7,2308.1,2343,2380.4,2414.8,1004.3,996.31,989.24,984.22,980.24,975.77,969.96,961.21,950.11,938.03,925.6,913.24,898.74,882.34,865.81,851.03,839.91,835.39,835.43,836.63,838.54,841.13,846.29,857.86,877.57,902.7,930.8,967.46,1001.7,1039
0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33,1028.8,1078.4,1128,1177.4,1226.9,1276.4,1325.8,1375.1,1424.1,1472.8,1521.2,1569.5,1617.4,1663.7,1710,1756.6,1803.3,1851.4,1900.4,1949.5,1998.8,2048.3,2098,2147.6,2197.1,2245.2,2291.9,2330.1,2366.7,2400.5,1006.4,1007.1,1004.9,1000.9,996.88,992.96,988.7,982.87,974.63,965.02,954.49,943.09,929.86,912.06,894.33,877.06,860.35,848.08,839.99,833.44,827.77,824.09,823.56,824.64,829.06,840.59,858.34,889.66,923.12,959.48
