,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
159,1096.0,1298.4,1500.9,1854.8,2103.4,2347.0,2547.3,568.14,564.38,562.37,574.65,621.88,690.76,676.17
160,,,,,,,,,,,,,,
161,1100.1,1302.7,1506.2,1861.9,2112.9,2355.3,2557.4,576.3,559.71,555.46,564.78,606.29,682.38,694.51
162,,,,,,,,,,,,,,
163,1100.1,1301.5,1504.6,1859.4,2110.5,2353.8,2555.4,578.33,554.03,549.24,557.85,593.73,665.07,688.4
164,,,,,,,,,,,,,,
165,1104.2,1307.6,1511.0,1867.0,2118.9,2364.3,2557.4,564.07,554.94,545.17,544.83,578.91,646.2,710.82
166,,,,,,,,,,,,,,
167,1098.1,1301.5,1505.5,1862.1,2115.7,2359.9,2553.4,557.95,552.54,546.67,535.28,554.83,627.72,692.47
168,,,,,,,,,,,,,,
169,1104.2,1305.5,1506.9,1859.2,2110.5,2353.0,2539.1,551.84,545.41,544.12,531.89,539.98,605.19,682.28
170,,,,,,,,,,,,,,
171,1106.2,1306.3,1506.9,1857.3,2107.9,2351.9,2535.0,537.57,542.88,544.55,521.8,520.13,569.89,651.71
172,,,,,,,,,,,,,,
173,1104.2,1308.3,1512.5,1869.3,2124.1,2377.3,2543.2,537.57,541.33,546.07,524.14,508.2,536.95,651.71
174,,,,,,,,,,,,,,
175,1106.2,1307.9,1510.2,1863.7,2115.2,2367.2,2549.3,525.34,534.35,543.07,525.89,496.22,513.45,596.68
176,,,,,,,,,,,,,,
177,1106.2,1307.8,1510.9,1865.6,2117.8,2370.6,2555.4,517.19,539.67,543.42,527.98,499.01,485.1,562.03
178,,,,,,,,,,,,,,
179,1112.3,1311.9,1514.1,1867.3,2117.6,2368.4,2559.5,513.11,542.57,546.26,532.78,497.52,469.21,525.34
180,,,,,,,,,,,,,,
181,1112.3,1311.8,1512.4,1863.1,2111.5,2358.8,2553.4,517.19,538.95,546.33,539.72,503.85,461.75,498.84
182,,,,,,,,,,,,,,
183,1108.3,1307.5,1508.3,1859.9,2108.1,2353.5,2553.4,515.15,542.44,552.41,546.33,507.01,452.76,466.23
184,,,,,,,,,,,,,,
185,1108.3,1307.7,1509.9,1863.8,2113.8,2357.8,2559.5,509.04,542.76,557.45,552.85,513.87,445.74,449.93
186,,,,,,,,,,,,,,
187,1112.3,1311.3,1512.7,1866.1,2114.9,2357.1,2557.4,509.04,544.82,561.67,562.56,519.84,449.23,429.54
188,,,,,,,,,,,,,,
189,1110.3,1306.3,1505.4,1855.4,2102.7,2340.4,2537.1,502.92,544.42,566.44,571.2,532.45,454.68,419.35
190,,,,,,,,,,,,,,
191,1116.4,1313.2,1512.4,1864.7,2113.6,2350.8,2547.3,502.92,546.19,577.89,580.33,545.05,460.27,415.28
