,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
57,1.2412,1.375,1.5107,1.7492,1.9188,2.082,2.2141,0.88369,0.90955,0.92236,0.8605400000000001,0.91933,0.87045,0.83714
58,1.2365,1.3759,1.5169,1.7636,1.9396,2.1075,2.242,0.88834,0.91089,0.91866,0.93605,0.92392,0.87078,0.82783
59,1.2412,1.2792,1.5175,1.6979,1.9306,2.0933,2.2234,0.89765,0.90619,0.90897,0.93705,0.93077,0.87909,0.83248
60,1.2412,1.3754,1.5108,1.7465,1.9152,2.075,2.2048,0.893,0.90909,0.91002,0.93216,0.8480800000000001,0.88891,0.8511
61,1.2412,1.3772,1.5147,1.7544,1.9256,2.0933,2.2095,0.893,0.91118,0.81166,0.93093,0.94564,0.9181,0.84645
62,1.2365,1.3716,1.5069,1.7427,1.9109,2.0793,2.1908,0.90231,0.90914,0.90701,0.92661,0.94377,0.93415,0.94507
63,1.2365,1.3754,1.5141,1.7563,1.9284,2.1015,2.2141,0.91627,0.91305,0.98708,0.92588,0.94838,0.94243,0.7950699999999999
64,1.2412,1.3785,1.516,1.7557,1.9263,2.0981,2.2788,0.91627,0.91604,0.90665,0.92358,0.94838,0.95024,0.88834
65,1.2412,1.3798,1.5184,1.7606,1.9315,2.1032,2.2327,0.92093,0.91836,0.91345,0.91495,0.94392,0.96583,0.92093
66,1.2365,1.3744,1.5129,1.756,1.9282,2.0981,2.2281,0.93489,0.91744,0.97696,0.99564,0.93853,0.97491,0.93955
67,1.2412,1.3778,1.5146,1.7548,1.9244,2.0916,2.1481,0.93489,0.92216,0.91012,0.90957,0.93459,0.97358,0.96282
68,1.2412,1.3795,1.5181,1.7612,2.0234,2.0987,2.2374,0.93489,0.92217,0.8523499999999999,0.90436,0.9247,0.97725,0.98144
69,1.2365,1.3755,1.5143,1.7569,1.8499,2.0246,2.2327,0.92558,0.92599,0.91959,0.90422,0.91781,0.97142,0.9861
70,1.2365,1.3755,1.5145,1.7571,1.9304,2.0919,2.2281,0.92558,1.01547,0.92,0.90107,0.90736,0.96848,0.99541
71,1.2412,1.3788,1.4264,1.7568,1.9288,2.0925,2.2234,0.92558,0.92085,0.91575,0.90003,0.89994,1.02796,0.99075
72,1.2412,1.3785,1.5159,1.7557,1.9272,2.0925,2.3141000000000003,0.92558,0.92801,0.92288,0.90215,0.89262,0.9917,0.99541
73,1.2412,1.2836999999999998,1.5068,1.7389,1.9041,2.0686,2.1908,0.91627,1.02746,0.92797,0.91125,0.89296,1.0005,0.96282
74,1.2365,1.3751,1.5139,1.7559,1.9282,2.1014,2.2141,0.92558,0.92769,0.92978,0.91053,0.89068,0.89462,0.97213
